Location,Month,MonthlyCases,MonthlySlope,MeanSlope
Hungary,2020-02,0,0.0,3974.0292899408287
India,2020-02,2,1.0,99855.6201183432
Indonesia,2020-02,0,0.0,12783.858579881655
Iran,2020-02,593,593.0,15860.356607495067
Iraq,2020-02,13,13.0,5514.051676528598
Ireland,2020-02,1,1.0,2801.6844181459555
Israel,2020-02,6,6.0,7799.16311637081
Italy,2020-02,1126,1124.0,35780.762919132154
Japan,2020-02,230,217.0,27848.70256410256
Jordan,2020-02,0,0.0,3424.101972386587
Kazakhstan,2020-02,0,0.0,2986.036785009862
"Korea, South",2020-02,3139,3129.0,31122.75996055227
Malaysia,2020-02,21,13.0,8304.36469428008
Mexico,2020-02,4,4.0,13690.708481262327
Netherlands,2020-02,10,10.0,14169.667751479292
New South Wales,2020-02,0,-4.0,4470.288362919132
Pakistan,2020-02,4,4.0,3691.2786982248517
Peru,2020-02,0,0.0,8656.709960552265
Philippines,2020-02,2,1.0,7891.337179487178
Poland,2020-02,0,0.0,12598.207692307695
Portugal,2020-02,0,0.0,8483.644871794872
Romania,2020-02,3,3.0,6115.0235700197245
Russia,2020-02,0,-2.0,36967.96114398423
Serbia,2020-02,0,0.0,4290.7644970414185
Slovakia,2020-02,0,0.0,4713.567061143984
South Africa,2020-02,0,0.0,8959.874556213017
Spain,2020-02,45,45.0,24604.73234714004
Sweden,2020-02,14,14.0,5093.508185404339
Switzerland,2020-02,18,18.0,6739.845759368836
Taiwan*,2020-02,29,20.0,7575.245167652862
Thailand,2020-02,23,8.0,7362.509861932941
Turkey,2020-02,0,0.0,30693.57544378698
US,2020-02,17,10.0,187040.68047337275
Ukraine,2020-02,0,0.0,11039.08934911242
United Kingdom,2020-02,59,57.0,41983.094871794885
Victoria,2020-02,4,1.0,3348.961439842209
Vietnam,2020-02,14,12.0,15338.120414201185
Argentina,2020-03,1054,527.0,19459.634615384617
Austria,2020-03,9261,4630.5,7888.694082840237
Bangladesh,2020-03,51,25.5,4491.330867850099
Belgium,2020-03,12774,6387.0,7980.535305719923
Brazil,2020-03,5715,2857.5,73173.49684418144
Chile,2020-03,2842,1421.0,8254.774358974359
Colombia,2020-03,906,453.0,14433.826923076924
Czechia,2020-03,3308,1654.0,8471.885996055227
Denmark,2020-03,2857,1428.5,5091.294378698225
France,2020-03,51479,25737.0,55232.15719921105
Georgia,2020-03,109,54.5,3135.4607495069035
Germany,2020-03,61847,30921.0,49017.373865877715
Greece,2020-03,1152,576.0,7036.486094674554
Hungary,2020-03,492,246.0,3974.0292899408287
India,2020-03,1394,696.5,99855.6201183432
Indonesia,2020-03,1528,764.0,12783.858579881655
Iran,2020-03,44012,22006.0,15860.356607495067
Iraq,2020-03,681,340.5,5514.051676528598
Ireland,2020-03,3234,1617.0,2801.6844181459555
Israel,2020-03,5711,2855.5,7799.16311637081
Italy,2020-03,104664,52331.0,35780.762919132154
Japan,2020-03,2010,998.5,27848.70256410256
Jordan,2020-03,274,137.0,3424.101972386587
Kazakhstan,2020-03,343,171.5,2986.036785009862
"Korea, South",2020-03,6636,3313.0,31122.75996055227
Malaysia,2020-03,2737,1364.5,8304.36469428008
Mexico,2020-03,1211,605.5,13690.708481262327
Netherlands,2020-03,13604,6802.0,14169.667751479292
New South Wales,2020-03,2028,1012.0,4470.288362919132
Pakistan,2020-03,2114,1057.0,3691.2786982248517
Peru,2020-03,1065,532.5,8656.709960552265
Philippines,2020-03,2081,1040.0,7891.337179487178
Poland,2020-03,2311,1155.5,12598.207692307695
Portugal,2020-03,7443,3721.5,8483.644871794872
Romania,2020-03,2242,1121.0,6115.0235700197245
Russia,2020-03,2335,1166.5,36967.96114398423
Serbia,2020-03,900,450.0,4290.7644970414185
Slovakia,2020-03,363,181.5,4713.567061143984
South Africa,2020-03,1353,676.5,8959.874556213017
Spain,2020-03,95878,47939.0,24604.73234714004
Sweden,2020-03,4820,2410.0,5093.508185404339
Switzerland,2020-03,16587,8293.5,6739.845759368836
Taiwan*,2020-03,283,137.0,7575.245167652862
Thailand,2020-03,1609,797.0,7362.509861932941
Turkey,2020-03,13531,6765.5,30693.57544378698
US,2020-03,192054,96023.5,187040.68047337275
Ukraine,2020-03,645,322.5,11039.08934911242
United Kingdom,2020-03,38423,19210.5,41983.094871794885
Victoria,2020-03,910,453.5,3348.961439842209
Vietnam,2020-03,196,97.0,15338.120414201185
Argentina,2020-04,3374,1117.6,19459.634615384617
Austria,2020-04,6138,2767.2,7888.694082840237
Bangladesh,2020-04,7616,2289.9,4491.330867850099
Belgium,2020-04,35744,12000.5,7980.535305719923
Brazil,2020-04,81470,25012.3,73173.49684418144
Chile,2020-04,14858,4741.4,8254.774358974359
Colombia,2020-04,5601,1770.9,14433.826923076924
Czechia,2020-04,4374,1643.0,8471.885996055227
Denmark,2020-04,6298,2174.8,5091.294378698225
France,2020-04,115747,39861.0,55232.15719921105
Georgia,2020-04,429,139.5,3135.4607495069035
Germany,2020-04,97206,35338.9,49017.373865877715
Greece,2020-04,1435,545.3,7036.486094674554
Hungary,2020-04,2283,734.1,3974.0292899408287
India,2020-04,33466,10178.7,99855.6201183432
Indonesia,2020-04,8590,2729.8,12783.858579881655
Iran,2020-04,50035,19352.4,15860.356607495067
Iraq,2020-04,1391,484.1,5514.051676528598
Ireland,2020-04,17377,5536.4,2801.6844181459555
Israel,2020-04,10179,3624.2,7799.16311637081
Italy,2020-04,99671,40254.5,35780.762919132154
Japan,2020-04,12029,3782.8,27848.70256410256
Jordan,2020-04,179,81.1,3424.101972386587
Kazakhstan,2020-04,3059,952.0,2986.036785009862
"Korea, South",2020-04,988,643.1,31122.75996055227
Malaysia,2020-04,3236,1240.0,8304.36469428008
Mexico,2020-04,18009,5523.4,13690.708481262327
Netherlands,2020-04,26177,9212.5,14169.667751479292
New South Wales,2020-04,993,499.5,4470.288362919132
Pakistan,2020-04,15996,5009.8,3691.2786982248517
Peru,2020-04,35911,10879.8,8656.709960552265
Philippines,2020-04,6404,2128.8,7891.337179487178
Poland,2020-04,10566,3400.9,12598.207692307695
Portugal,2020-04,17602,6024.9,8483.644871794872
Romania,2020-04,9995,3222.4,6115.0235700197245
Russia,2020-04,104161,31481.2,36967.96114398423
Serbia,2020-04,8109,2522.7,4290.7644970414185
Slovakia,2020-04,1033,346.2,4713.567061143984
South Africa,2020-04,4294,1423.5,8959.874556213017
Spain,2020-04,117512,44836.9,24604.73234714004
Sweden,2020-04,16767,5510.7,5093.508185404339
Switzerland,2020-04,12981,5551.2,6739.845759368836
Taiwan*,2020-04,107,54.8,7575.245167652862
Thailand,2020-04,1303,545.0,7362.509861932941
Turkey,2020-04,106673,33355.0,30693.57544378698
US,2020-04,889071,285922.9,187040.68047337275
Ukraine,2020-04,9761,2992.8,11039.08934911242
United Kingdom,2020-04,139059,45553.5,41983.094871794885
Victoria,2020-04,447,223.8,3348.961439842209
Vietnam,2020-04,58,35.0,15338.120414201185
Argentina,2020-05,12423,2822.0,19459.634615384617
Austria,2020-05,1208,855.1,7888.694082840237
Bangladesh,2020-05,39486,8658.8,4491.330867850099
Belgium,2020-05,9862,5546.7,7980.535305719923
Brazil,2020-05,428950,93936.8,73173.49684418144
Chile,2020-05,105848,22655.2,8254.774358974359
Colombia,2020-05,22876,5135.3,14433.826923076924
Czechia,2020-05,1586,754.6,8471.885996055227
Denmark,2020-05,2511,1131.7,5091.294378698225
France,2020-05,20491,15662.4,55232.15719921105
Georgia,2020-05,244,91.6,3135.4607495069035
Germany,2020-05,22363,14186.1,49017.373865877715
Greece,2020-05,326,208.3,7036.486094674554
Hungary,2020-05,1101,448.5,3974.0292899408287
India,2020-05,155746,34495.4,99855.6201183432
Indonesia,2020-05,16355,4130.0,12783.858579881655
Iran,2020-05,56826,16309.4,15860.356607495067
Iraq,2020-05,4354,1008.6,5514.051676528598
Ireland,2020-05,4378,2613.2,2801.6844181459555
Israel,2020-05,1183,1253.9,7799.16311637081
Italy,2020-05,27534,15360.9,35780.762919132154
Japan,2020-05,2457,1668.7,27848.70256410256
Jordan,2020-05,286,75.1,3424.101972386587
Kazakhstan,2020-05,7456,1797.1,2986.036785009862
"Korea, South",2020-05,729,-71.3,31122.75996055227
Malaysia,2020-05,1817,683.3,8304.36469428008
Mexico,2020-05,71440,16088.5,13690.708481262327
Netherlands,2020-05,6754,3967.5,14169.667751479292
New South Wales,2020-05,73,113.1,4470.288362919132
Pakistan,2020-05,54346,12468.4,3691.2786982248517
Peru,2020-05,127500,29091.1,8656.709960552265
Philippines,2020-05,9598,2559.6,7891.337179487178
Poland,2020-05,10909,3238.4,12598.207692307695
Portugal,2020-05,7455,3251.2,8483.644871794872
Romania,2020-05,7017,2402.6,6115.0235700197245
Russia,2020-05,299345,70284.7,36967.96114398423
Serbia,2020-05,2403,1291.5,4290.7644970414185
Slovakia,2020-05,125,128.3,4713.567061143984
South Africa,2020-05,27036,5836.6,8959.874556213017
Spain,2020-05,26044,16955.5,24604.73234714004
Sweden,2020-05,17060,5087.3,5093.508185404339
Switzerland,2020-05,1276,1551.5,6739.845759368836
Taiwan*,2020-05,13,8.6,7575.245167652862
Thailand,2020-05,127,150.4,7362.509861932941
Turkey,2020-05,43738,19414.9,30693.57544378698
US,2020-05,710397,230983.4,187040.68047337275
Ukraine,2020-05,13266,3629.3,11039.08934911242
United Kingdom,2020-05,78602,29620.0,41983.094871794885
Victoria,2020-05,289,101.5,3348.961439842209
Vietnam,2020-05,58,15.6,15338.120414201185
Argentina,2020-06,47679,7942.4,19459.634615384617
Austria,2020-06,1019,159.62857142857143,7888.694082840237
Bangladesh,2020-06,98330,17647.8,4491.330867850099
Belgium,2020-06,3046,1936.6571428571428,7980.535305719923
Brazil,2020-06,896532,167007.4,73173.49684418144
Chile,2020-06,155843,31679.114285714284,8254.774358974359
Colombia,2020-06,68463,11875.371428571429,14433.826923076924
Czechia,2020-06,2686,550.1142857142858,8471.885996055227
Denmark,2020-06,1099,470.2857142857143,5091.294378698225
France,2020-06,8737,4831.885714285714,55232.15719921105
Georgia,2020-06,145,50.68571428571428,3135.4607495069035
Germany,2020-06,12777,4746.428571428572,49017.373865877715
Greece,2020-06,492,105.97142857142858,7036.486094674554
Hungary,2020-06,279,185.4,3974.0292899408287
India,2020-06,394872,70675.97142857143,99855.6201183432
Indonesia,2020-06,29912,5876.771428571428,12783.858579881655
Iran,2020-06,76196,15877.2,15860.356607495067
Iraq,2020-06,42670,6488.085714285714,5514.051676528598
Ireland,2020-06,483,848.2571428571429,2801.6844181459555
Israel,2020-06,8359,1422.6857142857143,7799.16311637081
Italy,2020-06,7581,3203.6,35780.762919132154
Japan,2020-06,1864,741.5714285714286,27848.70256410256
Jordan,2020-06,393,77.94285714285714,3424.101972386587
Kazakhstan,2020-06,11450,2352.4,2986.036785009862
"Korea, South",2020-06,1347,-176.94285714285715,31122.75996055227
Malaysia,2020-06,820,284.2,8304.36469428008
Mexico,2020-06,135425,25949.457142857143,13690.708481262327
Netherlands,2020-06,3790,1478.7142857142858,14169.667751479292
New South Wales,2020-06,105,-8.885714285714286,4470.288362919132
Pakistan,2020-06,141010,25198.8,3691.2786982248517
Peru,2020-06,120737,29172.314285714285,8656.709960552265
Philippines,2020-06,19428,3721.3142857142857,7891.337179487178
Poland,2020-06,10607,2686.2,12598.207692307695
Portugal,2020-06,9641,2306.542857142857,8483.644871794872
Romania,2020-06,7713,1924.5714285714287,6115.0235700197245
Russia,2020-06,241086,63008.02857142857,36967.96114398423
Serbia,2020-06,3152,862.2285714285714,4290.7644970414185
Slovakia,2020-06,146,50.714285714285715,4713.567061143984
South Africa,2020-06,118526,19333.685714285715,8959.874556213017
Spain,2020-06,9792,4245.457142857143,24604.73234714004
Sweden,2020-06,29263,5982.857142857143,5093.508185404339
Switzerland,2020-06,852,126.51428571428572,6739.845759368836
Taiwan*,2020-06,5,-6.9714285714285715,7575.245167652862
Thailand,2020-06,90,10.885714285714286,7362.509861932941
Turkey,2020-06,35964,11547.885714285714,30693.57544378698
US,2020-06,857250,203267.77142857143,187040.68047337275
Ukraine,2020-06,21582,4480.685714285714,11039.08934911242
United Kingdom,2020-06,27565,13545.142857142857,41983.094871794885
Victoria,2020-06,578,93.34285714285714,3348.961439842209
Vietnam,2020-06,27,3.4,15338.120414201185
Argentina,2020-07,126772,17394.39285714286,19459.634615384617
Austria,2020-07,3244,132.53571428571428,7888.694082840237
Bangladesh,2020-07,92178,18308.178571428572,4491.330867850099
Belgium,2020-07,7324,898.2142857142857,7980.535305719923
Brazil,2020-07,1257782,213915.75,73173.49684418144
Chile,2020-07,76274,22982.5,8254.774358974359
Colombia,2020-07,197662,26852.928571428572,14433.826923076924
Czechia,2020-07,4620,625.3571428571429,8471.885996055227
Denmark,2020-07,1021,175.32142857142858,5091.294378698225
France,2020-07,18581,1500.857142857143,55232.15719921105
Georgia,2020-07,240,40.82142857142857,3135.4607495069035
Germany,2020-07,14439,1044.642857142857,49017.373865877715
Greece,2020-07,1068,119.78571428571429,7036.486094674554
Hungary,2020-07,350,79.17857142857143,3974.0292899408287
India,2020-07,1110507,152700.35714285713,99855.6201183432
Indonesia,2020-07,51991,8236.57142857143,12783.858579881655
Iran,2020-07,76542,14058.785714285714,15860.356607495067
Iraq,2020-07,75500,11267.392857142857,5514.051676528598
Ireland,2020-07,592,138.71428571428572,2801.6844181459555
Israel,2020-07,46296,5395.214285714285,7799.16311637081
Italy,2020-07,6959,-1548.1785714285713,35780.762919132154
Japan,2020-07,17651,2022.4642857142858,27848.70256410256
Jordan,2020-07,61,35.035714285714285,3424.101972386587
Kazakhstan,2020-07,68059,8363.92857142857,2986.036785009862
"Korea, South",2020-07,1486,-180.82142857142858,31122.75996055227
Malaysia,2020-07,337,59.464285714285715,8304.36469428008
Mexico,2020-07,198548,33454.107142857145,13690.708481262327
Netherlands,2020-07,4397,496.4642857142857,14169.667751479292
New South Wales,2020-07,570,-1.6785714285714286,4470.288362919132
Pakistan,2020-07,64835,18883.89285714286,3691.2786982248517
Peru,2020-07,122279,26240.928571428572,8656.709960552265
Philippines,2020-07,55840,7638.785714285715,7891.337179487178
Poland,2020-07,11295,2274.8928571428573,12598.207692307695
Portugal,2020-07,8931,1645.9642857142858,8483.644871794872
Romania,2020-07,23916,3283.6785714285716,6115.0235700197245
Russia,2020-07,191532,48349.0,36967.96114398423
Serbia,2020-07,10988,1456.107142857143,4290.7644970414185
Slovakia,2020-07,625,68.89285714285714,4713.567061143984
South Africa,2020-07,341974,46023.46428571428,8959.874556213017
Spain,2020-07,39251,2407.6071428571427,24604.73234714004
Sweden,2020-07,9152,3506.9285714285716,5093.508185404339
Switzerland,2020-07,3518,-110.32142857142857,6739.845759368836
Taiwan*,2020-07,20,-10.178571428571429,7575.245167652862
Thailand,2020-07,139,-34.857142857142854,7362.509861932941
Turkey,2020-07,30967,6965.571428571428,30693.57544378698
US,2020-07,1899700,283281.71428571426,187040.68047337275
Ukraine,2020-07,26150,4794.107142857143,11039.08934911242
United Kingdom,2020-07,19471,5485.642857142857,41983.094871794885
Victoria,2020-07,8700,950.6428571428571,3348.961439842209
Vietnam,2020-07,203,17.535714285714285,15338.120414201185
Argentina,2020-08,226433,28188.27380952381,19459.634615384617
Austria,2020-08,6258,361.3690476190476,7888.694082840237
Bangladesh,2020-08,75335,15654.07142857143,4491.330867850099
Belgium,2020-08,16485,1154.095238095238,7980.535305719923
Brazil,2020-08,1244378,214517.58333333334,73173.49684418144
Chile,2020-08,56059,15759.119047619048,8254.774358974359
Colombia,2020-08,319586,41016.166666666664,14433.826923076924
Czechia,2020-08,8044,889.9285714285714,8471.885996055227
Denmark,2020-08,3196,219.0595238095238,5091.294378698225
France,2020-08,89214,5873.940476190476,55232.15719921105
Georgia,2020-08,319,39.892857142857146,3135.4607495069035
Germany,2020-08,33683,1018.8452380952381,49017.373865877715
Greece,2020-08,5840,513.2261904761905,7036.486094674554
Hungary,2020-08,1634,135.32142857142858,3974.0292899408287
India,2020-08,1995178,247874.7380952381,99855.6201183432
Indonesia,2020-08,66420,9735.857142857143,12783.858579881655
Iran,2020-08,71008,11668.380952380952,15860.356607495067
Iraq,2020-08,110325,15221.904761904761,5514.051676528598
Ireland,2020-08,2746,11.011904761904763,2801.6844181459555
Israel,2020-08,45172,6507.166666666667,7799.16311637081
Italy,2020-08,21677,-2172.5714285714284,35780.762919132154
Japan,2020-08,32129,3594.1309523809523,27848.70256410256
Jordan,2020-08,841,79.23809523809524,3424.101972386587
Kazakhstan,2020-08,40306,7858.988095238095,2986.036785009862
"Korea, South",2020-08,5846,195.96428571428572,31122.75996055227
Malaysia,2020-08,364,-36.88095238095238,8304.36469428008
Mexico,2020-08,174923,31824.45238095238,13690.708481262327
Netherlands,2020-08,16397,1045.8214285714287,14169.667751479292
New South Wales,2020-08,290,-21.86904761904762,4470.288362919132
Pakistan,2020-08,17544,10738.107142857143,3691.2786982248517
Peru,2020-08,239674,32615.690476190477,8656.709960552265
Philippines,2020-08,127465,14603.25,7891.337179487178
Poland,2020-08,21684,2779.690476190476,12598.207692307695
Portugal,2020-08,6940,1067.642857142857,8483.644871794872
Romania,2020-08,36654,4637.833333333333,6115.0235700197245
Russia,2020-08,153941,35079.40476190476,36967.96114398423
Serbia,2020-08,5854,1154.3809523809523,4290.7644970414185
Slovakia,2020-08,1625,154.0595238095238,4713.567061143984
South Africa,2020-08,133858,35965.916666666664,8959.874556213017
Spain,2020-08,174336,12698.285714285714,24604.73234714004
Sweden,2020-08,7303,2028.9642857142858,5093.508185404339
Switzerland,2020-08,6945,85.77380952380952,6739.845759368836
Taiwan*,2020-08,21,-10.583333333333334,7575.245167652862
Thailand,2020-08,102,-54.095238095238095,7362.509861932941
Turkey,2020-08,39260,5166.892857142857,30693.57544378698
US,2020-08,1497992,259538.38095238095,187040.68047337275
Ukraine,2020-08,52728,6740.023809523809,11039.08934911242
United Kingdom,2020-08,32692,2772.1309523809523,41983.094871794885
Victoria,2020-08,8207,1187.547619047619,3348.961439842209
Vietnam,2020-08,486,45.54761904761905,15338.120414201185
Argentina,2020-09,333266,38468.4,19459.634615384617
Austria,2020-09,17100,1166.8666666666666,7888.694082840237
Bangladesh,2020-09,50483,11715.083333333334,4491.330867850099
Belgium,2020-09,33216,2311.9666666666667,7980.535305719923
Brazil,2020-09,902536,177707.8,73173.49684418144
Chile,2020-09,51265,11018.0,8254.774358974359
Colombia,2020-09,214585,37891.2,14433.826923076924
Czechia,2020-09,46145,3494.133333333333,8471.885996055227
Denmark,2020-09,11013,746.0,5091.294378698225
France,2020-09,274420,19870.183333333334,55232.15719921105
Georgia,2020-09,4705,329.2,3135.4607495069035
Germany,2020-09,46838,1815.8833333333334,49017.373865877715
Greece,2020-09,8158,817.15,7036.486094674554
Hungary,2020-09,20322,1398.3666666666666,3974.0292899408287
India,2020-09,2621418,317513.8,99855.6201183432
Indonesia,2020-09,112212,12839.266666666666,12783.858579881655
Iran,2020-09,82007,10508.233333333334,15860.356607495067
Iraq,2020-09,128047,17234.016666666666,5514.051676528598
Ireland,2020-09,7344,257.21666666666664,2801.6844181459555
Israel,2020-09,130505,12281.133333333333,7799.16311637081
Italy,2020-09,45647,-721.1166666666667,35780.762919132154
Japan,2020-09,15194,2958.9666666666667,27848.70256410256
Jordan,2020-09,9791,691.25,3424.101972386587
Kazakhstan,2020-09,10034,5081.283333333334,2986.036785009862
"Korea, South",2020-09,3707,216.13333333333333,31122.75996055227
Malaysia,2020-09,1884,21.95,8304.36469428008
Mexico,2020-09,143656,26857.85,13690.708481262327
Netherlands,2020-09,52968,3670.5333333333333,14169.667751479292
New South Wales,2020-09,164,-38.233333333333334,4470.288362919132
Pakistan,2020-09,16957,6181.733333333334,3691.2786982248517
Peru,2020-09,164602,28411.4,8656.709960552265
Philippines,2020-09,90875,14440.45,7891.337179487178
Poland,2020-09,24142,2993.8166666666666,12598.207692307695
Portugal,2020-09,17530,1432.5833333333333,8483.644871794872
Romania,2020-09,40032,5185.783333333334,6115.0235700197245
Russia,2020-09,178397,28178.7,36967.96114398423
Serbia,2020-09,2145,689.35,4290.7644970414185
Slovakia,2020-09,6224,490.1333333333333,4713.567061143984
South Africa,2020-09,47298,23104.0,8959.874556213017
Spain,2020-09,306330,25453.65,24604.73234714004
Sweden,2020-09,8484,1282.7166666666667,5093.508185404339
Switzerland,2020-09,11105,448.9,6739.845759368836
Taiwan*,2020-09,26,-9.733333333333333,7575.245167652862
Thailand,2020-09,152,-56.13333333333333,7362.509861932941
Turkey,2020-09,48530,4601.05,30693.57544378698
US,2020-09,1199711,211270.2,187040.68047337275
Ukraine,2020-09,90314,9704.516666666666,11039.08934911242
United Kingdom,2020-09,117391,6967.616666666667,41983.094871794885
Victoria,2020-09,1045,741.4666666666667,3348.961439842209
Vietnam,2020-09,50,26.516666666666666,15338.120414201185
Argentina,2020-10,415923,46112.20606060606,19459.634615384617
Austria,2020-10,57236,3702.5272727272727,7888.694082840237
Bangladesh,2020-10,44205,8728.339393939394,4491.330867850099
Belgium,2020-10,310777,17915.012121212123,7980.535305719923
Brazil,2020-10,720398,139340.3212121212,73173.49684418144
Chile,2020-10,47265,7785.175757575757,8254.774358974359
Colombia,2020-10,244505,35865.51515151515,14433.826923076924
Czechia,2020-10,264339,16530.812121212122,8471.885996055227
Denmark,2020-10,18353,1373.9333333333334,5091.294378698225
France,2020-10,795922,54357.278787878786,55232.15719921105
Georgia,2020-10,32744,1987.9272727272728,3135.4607495069035
Germany,2020-10,229534,12087.836363636363,49017.373865877715
Greece,2020-10,20776,1615.5575757575757,7036.486094674554
Hungary,2020-10,48860,3521.7151515151513,3974.0292899408287
India,2020-10,1871498,294742.7515151515,99855.6201183432
Indonesia,2020-10,123080,14311.660606060606,12783.858579881655
Iran,2020-10,155553,13356.036363636364,15860.356607495067
Iraq,2020-10,109649,16314.8,5514.051676528598
Ireland,2020-10,25301,1348.0,2801.6844181459555
Israel,2020-10,66938,11083.436363636363,7799.16311637081
Italy,2020-10,364569,17452.88484848485,35780.762919132154
Japan,2020-10,17744,2613.3030303030305,27848.70256410256
Jordan,2020-10,60782,3746.4424242424243,3424.101972386587
Kazakhstan,2020-10,8992,3333.181818181818,2986.036785009862
"Korea, South",2020-10,2746,162.1939393939394,31122.75996055227
Malaysia,2020-10,20324,1056.521212121212,8304.36469428008
Mexico,2020-10,181746,24942.060606060608,13690.708481262327
Netherlands,2020-10,235764,14777.230303030303,14169.667751479292
New South Wales,2020-10,198,-42.624242424242425,4470.288362919132
Pakistan,2020-10,21164,3754.4121212121213,3691.2786982248517
Peru,2020-10,88412,20565.50303030303,8656.709960552265
Philippines,2020-10,69035,12378.636363636364,7891.337179487178
Poland,2020-10,271217,16416.345454545455,12598.207692307695
Portugal,2020-10,65737,4169.703030303031,8483.644871794872
Romania,2020-10,113767,9203.787878787878,6115.0235700197245
Russia,2020-10,435468,37150.64848484848,36967.96114398423
Serbia,2020-10,13403,1029.0787878787878,4290.7644970414185
Slovakia,2020-10,49682,3004.927272727273,4713.567061143984
South Africa,2020-10,51113,15503.987878787879,8959.874556213017
Spain,2020-10,416490,36567.63636363636,24604.73234714004
Sweden,2020-10,31492,2087.8242424242426,5093.508185404339
Switzerland,2020-10,100969,5510.951515151515,6739.845759368836
Taiwan*,2020-10,41,-7.951515151515151,7575.245167652862
Thailand,2020-10,216,-50.61818181818182,7362.509861932941
Turkey,2020-10,56704,4507.872727272727,30693.57544378698
US,2020-10,1930152,215015.71515151515,187040.68047337275
Ukraine,2020-10,184884,15842.739393939393,11039.08934911242
United Kingdom,2020-10,558396,32778.26666666667,41983.094871794885
Victoria,2020-10,163,425.8181818181818,3348.961439842209
Vietnam,2020-10,86,17.345454545454544,15338.120414201185
Argentina,2020-11,257609,40989.454545454544,19459.634615384617
Austria,2020-11,177033,10362.636363636364,7888.694082840237
Bangladesh,2020-11,57248,7295.327272727272,4491.330867850099
Belgium,2020-11,148116,18217.763636363637,7980.535305719923
Brazil,2020-11,804202,115888.22727272728,73173.49684418144
Chile,2020-11,41487,5405.309090909091,8254.774358974359
Colombia,2020-11,242622,33044.75454545455,14433.826923076924
Czechia,2020-11,188196,19429.28181818182,8471.885996055227
Denmark,2020-11,34130,2371.1272727272726,5091.294378698225
France,2020-11,848702,73096.72727272728,55232.15719921105
Georgia,2020-11,96648,5707.054545454545,3135.4607495069035
Germany,2020-11,535116,31031.363636363636,49017.373865877715
Greece,2020-11,66020,4034.163636363636,7036.486094674554
Hungary,2020-11,141801,8744.418181818182,3974.0292899408287
India,2020-11,1278727,241980.64545454545,99855.6201183432
Indonesia,2020-11,128795,14724.027272727273,12783.858579881655
Iran,2020-11,349298,23108.881818181817,15860.356607495067
